subfield_id,subfield,field,domain,works_count,description
3303,Development,Social Sciences,Social Sciences,444015,detailed developed land
2404,Microbiology,Immunology and Microbiology,Life Sciences,443907,study of microscopic organisms
1303,Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences,431006,study of chemical processes in living organisms
2508,"Surfaces, Coatings and Films",Materials Science,Physical Sciences,422513,any adherent layer that covers a surface
3609,Occupational Therapy,Health Professions,Health Sciences,421524,therapy to increase skills related to work or independent living
3504,Oral Surgery,Dentistry,Health Sciences,406465,medical specialty
1310,Endocrinology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,398907,medical specialty
3105,Instrumentation,Physics and Astronomy,Physical Sciences,398882,measuring instruments which monitor and control a process
1709,Human-Computer Interaction,Computer Science,Physical Sciences,390024,academic discipline
3321,Public Administration,Social Sciences,Social Sciences,378300,"generic term for the administrations that perform tasks of the state, including bodies governed by public law"
3003,Pharmaceutical Science,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences,373694,"area of study concerned with drugs at every stage, from design to disposition"
2748,Urology,Medicine,Health Sciences,354012,a medical and surgical specialty that focuses on diagnosing and treating disorders of the urinary tract and male reproductive organs
2500,General Materials Science,Materials Science,Physical Sciences,342005,"research, discovery and design of physical materials (especially solids)"
2216,Architecture,Engineering,Physical Sciences,331426,"both the process and product of planning, designing and construction"
3611,Pharmacy,Health Professions,Health Sciences,328182,"science that studies the chemical, pharmacological and pharmaceutical properties of drugs"
2715,Gastroenterology,Medicine,Health Sciences,326509,branch of medicine focused on the digestive system and its disorders
1308,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences,321815,study of chemical processes in living organisms
3309,Library and Information Sciences,Social Sciences,Social Sciences,317445,professional training program merging of the two fields library science and information science
3506,Periodontics,Dentistry,Health Sciences,313005,field of dentistry
2703,Anesthesiology and Pain Medicine,Medicine,Health Sciences,304348,medical specialty concerned with anesthesia and perioperative care
3202,Applied Psychology,Psychology,Social Sciences,301460,application of psychological theories or findings
2611,Modeling and Simulation,Mathematics,Physical Sciences,295243,"use of models – physical, mathematical, or otherwise logical representation of a system, entity, phenomenon, or process – as a basis for simulations – methods f"
2614,Theoretical Computer Science,Mathematics,Physical Sciences,286361,subfield of computer science and mathematics
2723,Immunology and Allergy,Medicine,Health Sciences,283358,branch of medicine studying the immune system
1507,Fluid Flow and Transfer Processes,Chemical Engineering,Physical Sciences,283257,movement of fluid matter
2733,Otorhinolaryngology,Medicine,Health Sciences,273741,"surgical subspeciality concerned with ear, nose, and throat conditions"
3614,Radiological and Ultrasound Technology,Health Professions,Health Sciences,271618,specialty that uses medical imaging to diagnose and treat diseases seen within the body
2602,Algebra and Number Theory,Mathematics,Physical Sciences,269969,part of mathematics in which letters and other symbols are used to represent numbers and quantities in formulae and equation
1704,Computer Graphics and Computer-Aided Design,Computer Science,Physical Sciences,267825,sub-field of computer science
2503,Ceramics and Composites,Materials Science,Physical Sciences,263168,"inorganic, nonmetallic solid prepared by the action of heat"
1503,Catalysis,Chemical Engineering,Physical Sciences,262119,process of increasing the rate of a chemical reaction
2706,Critical Care and Intensive Care Medicine,Medicine,Health Sciences,259469,"medical care subspecialty, treating critically ill"
2807,Endocrine and Autonomic Systems,Neuroscience,Life Sciences,254707,medical specialty
2702,Anatomy,Medicine,Health Sciences,247489,study of the structure and parts of organisms
3505,Orthodontics,Dentistry,Health Sciences,247150,"specialty of dentistry that deals with the diagnosis, prevention, and correction of malpositioned teeth and jaws, and misaligned bite patterns"
1712,Software,Computer Science,Physical Sciences,246425,non-tangible executable component of a computer
1314,Physiology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,243286,science regarding function of organisms or living systems
2612,Numerical Analysis,Mathematics,Physical Sciences,242934,study of algorithms that use numerical approximation for the problems of mathematical analysis
2406,Virology,Immunology and Microbiology,Life Sciences,239325,study of viruses
1200,General Arts and Humanities,Arts and Humanities,Social Sciences,236180,"study of the products of human culture such as art, historical artifacts etc"
1313,Molecular Medicine,"Biochemistry, Genetics and Molecular Biology",Life Sciences,233434,medical specialty and academic discipline
2717,Geriatrics and Gerontology,Medicine,Health Sciences,227458,specialty that focuses on health care of elderly people
2809,Sensory Systems,Neuroscience,Life Sciences,223594,ability to interpret the surrounding environment using light in the visible spectrum
2704,Biochemistry,Medicine,Health Sciences,219845,study of chemical processes in living organisms
1315,Structural Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,206593,study of molecular structures in biology
3200,General Psychology,Psychology,Social Sciences,195406,"branch of psychology that studies the mental functions, behaviors, and processes of individuals, exploring concepts such as perception, cognition, emotion, and "
